species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,diet,life_stage,health_metrics,year
Adelie,Biscoe,53.4,17.8,219,5687,female,fish,adult,overweight,2021
Adelie,Biscoe,49.3,18.1,245,6811,female,fish,adult,overweight,2021
Adelie,Biscoe,55.7,16.6,226,5388,female,fish,adult,overweight,2021
Adelie,Biscoe,38,15.6,221,6262,female,fish,adult,overweight,2021
Adelie,Biscoe,60.7,17.9,177,4811,female,fish,juvenile,overweight,2021
Adelie,Biscoe,35.7,16.8,194,5266,female,fish,juvenile,overweight,2021
Adelie,Biscoe,61,20.8,211,5961,female,fish,adult,overweight,2021
Adelie,Biscoe,66.1,20.8,246,6653,male,fish,adult,overweight,2021
Adelie,Biscoe,61.4,19.9,270,6722,male,fish,adult,overweight,2021
Adelie,Biscoe,54.9,22.3,230,6494,male,fish,adult,overweight,2021
Adelie,Biscoe,63.9,16.5,277,6147,male,fish,adult,overweight,2021
Adelie,Biscoe,55.1,19.7,224,6038,male,fish,juvenile,overweight,2021
Adelie,Biscoe,57.4,19.5,255,5920,male,fish,adult,healthy,2021
Adelie,Biscoe,20.4,16.9,166,3431,female,krill,juvenile,underweight,2021
Adelie,Biscoe,20.4,14.9,188,3672,female,krill,juvenile,underweight,2021
Adelie,Biscoe,20.8,18,206,3378,female,krill,juvenile,underweight,2021
Adelie,Biscoe,25.9,17.8,186,3511,female,krill,juvenile,underweight,2021
Adelie,Biscoe,21.3,16.8,179,3631,female,krill,juvenile,underweight,2021
Adelie,Biscoe,28.5,17.4,169,3810,female,krill,juvenile,healthy,2021
Adelie,Biscoe,31.6,16,214,5004,male,krill,juvenile,healthy,2021
Adelie,Biscoe,31.7,24.6,216,4821,male,krill,adult,underweight,2021
Adelie,Biscoe,32.9,20.2,231,5431,male,krill,adult,healthy,2021
Adelie,Biscoe,21.1,23.3,219,4649,male,krill,juvenile,healthy,2021
Adelie,Biscoe,26.9,19.2,229,4883,male,krill,adult,underweight,2021
Adelie,Biscoe,25.1,17.9,204,4405,male,krill,juvenile,underweight,2021
Adelie,Biscoe,30.2,13.1,171,2945,female,parental,chick,healthy,2021
Adelie,Biscoe,36,17.7,167,2989,female,parental,chick,healthy,2021
Adelie,Biscoe,28,16,164,3048,female,parental,chick,healthy,2021
Adelie,Biscoe,35.8,14.2,174,3005,female,parental,chick,healthy,2021
Adelie,Biscoe,23.3,14.2,176,3203,female,parental,chick,overweight,2021
Adelie,Biscoe,33,15,177,2850,female,parental,chick,healthy,2021
Adelie,Biscoe,32.8,14.6,193,3653,male,parental,chick,healthy,2021
Adelie,Biscoe,30.4,19.9,176,3220,male,parental,chick,underweight,2021
