death_rate,incidence,median_income,population_2015,poverty_pct,median_age,private_insurance_pct,urban_rural,income_category
180.2937751,489.8,61898,260131,11.2,39.3,75.1,1,Medium
161.7786406,411.6,48127,43269,18.6,33,70.2,0,Medium
237.800818,349.7,49348,21026,14.6,45,63.7,0,Medium
266.2027885,430.4,44243,75882,17.1,42.8,58.4,0,Low
251.9135743,350.1,49955,10321,12.5,48.3,61.6,0,Medium
249.08641,505.4,52313,61023,15.6,45.4,60,0,Medium
233.6448598,461.8,37782,41516,23.2,42.6,49.5,0,Low
340.5602456,404,40189,20848,17.8,51.7,55.8,0,Low
275.0611247,459.4,42579,13088,22.3,49.3,55.5,0,Low
163.516021,510.9,60397,843954,13.1,35.8,69.9,1,Medium
221.5111986,413.3,54721,16252,12.7,54.4,67.2,0,Medium
220.7704808,499.3,51395,121846,15.7,41,64.4,1,Medium
229.2971161,398.9,52673,11339,12.6,45.2,64.4,0,Medium
144.7247317,493.4,71890,772501,9.9,37.6,73.3,1,Medium
183.5236126,440.7,50083,490945,16.3,37.2,65.2,1,Medium
242.0588705,423.8,43823,43791,19.3,46.2,58.3,0,Low
179.196842,495.9,61653,269536,11.9,38.5,74.5,1,Medium
296.8827313,463.2,51022,4042,13.9,52.1,64.7,0,Medium
198.8796447,442.5,49819,60338,15.7,36.9,65.7,0,Medium
172.8816114,490.9,53733,212284,15.7,36.5,68.7,1,Medium
103.7839633,390.5,41837,48177,28.4,24.2,78.3,0,Low
161.9579633,411,44342,248830,20.5,32.5,54.6,1,Low
245.4501916,445.2,35615,16704,21.5,41.5,55.6,0,Low
192.1341186,463.1,56737,111901,13.2,38.4,70,1,Medium
299.5036796,501.8,37625,23372,22.1,41.9,60.2,0,Low
277.488727,396.6,33817,14415,22.2,44.5,56.1,0,Low
295.503212,481.6,43572,23350,15.1,45.9,68.3,0,Low
244.7234728,483.4,34887,96844,21.9,38.5,63.3,1,Low
334.6720214,459.9,32162,7470,21.8,47,52.4,0,Low
291.8069585,591,32961,8910,25.1,43.3,48.7,0,Low
232.3874755,234,41838,8176,17.4,43.7,55.2,0,Low
304.4647421,457,36739,44997,21.4,43.2,53.4,0,Low
246.5367457,463.1,32705,8518,28.9,38.4,61.3,0,Low
186.9794323,356.3,41039,11766,17,45.6,65.1,0,Low
290.0101363,494.9,36996,35516,21.1,45.3,61.9,0,Low
282.6189355,475.1,35980,23353,21.2,44.6,50.5,0,Low
285.0913969,495,48178,29815,12.9,45.6,69.5,0,Medium
209.3560497,374.9,41010,13852,15.3,44.5,65.8,0,Low
279.4190412,506.6,42121,68714,13.9,42,64,0,Low
266.7852379,475.8,41121,29237,16.7,42.6,66.9,0,Low
178.8180305,423.7,66950,56482,10.2,39.7,73.3,0,Medium
286.1967164,508.7,43936,188332,16.8,42.8,66,1,Low
303.9883268,553,40568,16448,20,43.3,56.4,0,Low
280.1774457,513.2,34295,21415,24.4,41.9,51.7,0,Low
325.5827355,523.9,36437,34707,20.2,42.6,56.1,0,Low
352.91152,457.1,24707,19835,34.9,44.1,39.7,0,Low
252.9644269,510.9,43729,56925,17.9,41.1,67.6,0,Low
272.0620427,456.3,43356,31978,15.2,44.3,70.3,0,Low
