date,temperature_c
01/01/2007,2.2
01/02/2007,0.8
01/03/2007,1.6
01/04/2007,2.4
01/05/2007,2.6
01/06/2007,2.1
01/07/2007,1
01/08/2007,2
01/09/2007,3.2
01/10/2007,1.3
01/11/2007,1
01/12/2007,5.4
01/13/2007,1.6
01/14/2007,1.8
01/15/2007,2
01/16/2007,2.3
01/17/2007,2.4
01/18/2007,3
01/19/2007,1.1
01/20/2007,2.7
01/21/2007,3.9
01/22/2007,0.7
01/23/2007,0.8
01/24/2007,4.1
01/25/2007,0.9
01/26/2007,1.7
01/27/2007,1.7
01/28/2007,2.4
01/29/2007,4.3
01/30/2007,1.2
01/31/2007,1.5
02/01/2007,0.7
02/02/2007,2.2
02/03/2007,0.4
02/04/2007,0.9
02/05/2007,2.4
02/06/2007,1.5
02/07/2007,1
02/08/2007,5.7
02/09/2007,4.2
02/10/2007,2.4
02/11/2007,2.5
02/12/2007,3.9
02/13/2007,2.4
02/14/2007,5
02/15/2007,2.1
02/16/2007,2.3
02/17/2007,1.8
02/18/2007,2.7
02/19/2007,1.9
02/20/2007,0.9
02/21/2007,2
02/22/2007,2.3
02/23/2007,4.3
02/24/2007,-0.4
02/25/2007,0.2
02/26/2007,0.4
02/27/2007,2.5
02/28/2007,-0.1
03/01/2007,0.5
03/02/2007,4.1
03/03/2007,3.4
03/04/2007,4.1
03/05/2007,-0.2
03/06/2007,3
03/07/2007,3.1
03/08/2007,1.2
03/09/2007,1.4
03/10/2007,2.9
03/11/2007,0.3
03/12/2007,-0.3
03/13/2007,-1.2
03/14/2007,-2.2
03/15/2007,-0.1
03/16/2007,0.7
03/17/2007,-1.3
03/18/2007,2.7
03/19/2007,0.1
03/20/2007,2.4
03/21/2007,-2.6
03/22/2007,-0.2
03/23/2007,-0.9
03/24/2007,1.2
03/25/2007,0.4
03/26/2007,1.3
03/27/2007,1.5
03/28/2007,3.3
03/29/2007,1.8
03/30/2007,0.6
03/31/2007,2.1
04/01/2007,0.7
04/02/2007,1.6
04/03/2007,2.3
04/04/2007,-0.4
04/05/2007,-0.8
04/06/2007,2
04/07/2007,-0.3
04/08/2007,-2.2
04/09/2007,-1.7
04/10/2007,3.3
04/11/2007,-0.3
04/12/2007,3
04/13/2007,-2.7
04/14/2007,2.6
04/15/2007,-1.6
04/16/2007,-1
04/17/2007,1
04/18/2007,3
04/19/2007,-2.9
04/20/2007,2.8
04/21/2007,-1.9
04/22/2007,0.7
04/23/2007,-1.3
04/24/2007,-1.8
04/25/2007,-0.4
04/26/2007,-3.9
04/27/2007,-4.6
04/28/2007,-4.5
04/29/2007,0.1
04/30/2007,2.2
05/01/2007,-3.5
05/02/2007,-1.4
05/03/2007,-2.3
05/04/2007,1.6
05/05/2007,1.9
05/06/2007,-4.5
05/07/2007,-4.5
05/08/2007,-0.9
05/09/2007,0.6
05/10/2007,-0.4
05/11/2007,0.1
05/12/2007,0.6
05/13/2007,-2.6
05/14/2007,-1.3
05/15/2007,-0.9
05/16/2007,0.6
05/17/2007,-1.4
05/18/2007,-1.6
05/19/2007,-3.1
05/20/2007,-5.1
05/21/2007,-0.3
05/22/2007,2.6
05/23/2007,-1.7
05/24/2007,-1.3
05/25/2007,-1.1
05/26/2007,-7.2
05/27/2007,-6.8
05/28/2007,-1
05/29/2007,-5.4
05/30/2007,-8.2
05/31/2007,0.4
06/01/2007,2.6
06/02/2007,-10.3
06/03/2007,-5.3
06/04/2007,-3.1
06/05/2007,-2.5
06/06/2007,-0.8
06/07/2007,-5
06/08/2007,-1.6
06/09/2007,-1.2
06/10/2007,-14.3
06/11/2007,-7.1
06/12/2007,-7
06/13/2007,-5
06/14/2007,-1.5
06/15/2007,-0.8
06/16/2007,-6.8
06/17/2007,-3.5
06/18/2007,-5.5
06/19/2007,-3.9
06/20/2007,-3.6
06/21/2007,-4.1
06/22/2007,-4.9
06/23/2007,-3.6
06/24/2007,-7.9
06/25/2007,-2.9
06/26/2007,-2.7
06/27/2007,-4.8
06/28/2007,-4.6
06/29/2007,-9.6
06/30/2007,-11.3
07/01/2007,3.5
07/02/2007,-9.7
07/03/2007,1.6
07/04/2007,6.8
07/05/2007,-2.6
07/06/2007,-6.5
07/07/2007,-1.4
07/08/2007,-7.3
07/09/2007,-2.8
07/10/2007,-1.5
07/11/2007,-3
07/12/2007,-11.6
07/13/2007,-10
07/14/2007,-16
07/15/2007,-8
07/16/2007,-7.7
07/17/2007,-0.4
07/18/2007,-2.4
07/19/2007,-6.5
07/20/2007,-10.5
07/21/2007,-6.2
07/22/2007,-5.3
07/23/2007,-12.1
07/24/2007,-4.5
07/25/2007,-5.6
07/26/2007,5.4
07/27/2007,-6.8
07/28/2007,-4.1
07/29/2007,-8.6
07/30/2007,-2.9
07/31/2007,-12
08/01/2007,-15.4
08/02/2007,-3.7
08/03/2007,-8
08/04/2007,-3.4
08/05/2007,-4.2
08/06/2007,-8
08/07/2007,-8.2
08/08/2007,-6.9
08/09/2007,-2.7
08/10/2007,-1
08/11/2007,-10.9
08/12/2007,-1.4
08/13/2007,-1.2
08/14/2007,-3.5
08/15/2007,-8.9
08/16/2007,-3.8
08/17/2007,-6.6
08/18/2007,-5.1
08/19/2007,-10
08/20/2007,-4.4
08/21/2007,-18
08/22/2007,3.5
08/23/2007,-12.9
08/24/2007,-10.2
08/25/2007,2.6
08/26/2007,-5.9
08/27/2007,-5.6
08/28/2007,-5
08/29/2007,-3
08/30/2007,-5.1
08/31/2007,7.5
09/01/2007,-10.5
09/02/2007,-17.8
09/03/2007,-5
09/04/2007,-6.6
09/05/2007,-5.8
09/06/2007,4
09/07/2007,-12.1
09/08/2007,-11.6
09/09/2007,-12.5
09/10/2007,-5.3
09/11/2007,-0.8
09/12/2007,0.5
09/13/2007,-11.3
09/14/2007,-0.2
09/15/2007,-3.1
09/16/2007,3.3
09/17/2007,-3
09/18/2007,-10.4
09/19/2007,-10.4
09/20/2007,-6.6
09/21/2007,-6.8
09/22/2007,-6.5
09/23/2007,-2.9
09/24/2007,-3.6
09/25/2007,-1.3
09/26/2007,-6.3
09/27/2007,-8.9
09/28/2007,-1.1
09/29/2007,-0.5
