date,temperature_c
01/01/2007,2.4
02/01/2007,0.7
03/01/2007,2.5
04/01/2007,1.5
05/01/2007,2.2
06/01/2007,2.4
07/01/2007,2.7
08/01/2007,4.1
09/01/2007,-1
10/01/2007,-1
11/01/2007,3.9
12/01/2007,1.4
13/01/2007,4.2
14/01/2007,3.6
15/01/2007,2.4
16/01/2007,0.8
17/01/2007,0.5
18/01/2007,1.3
19/01/2007,2
20/01/2007,3.7
21/01/2007,2.8
22/01/2007,3.3
23/01/2007,1.4
24/01/2007,-0.5
25/01/2007,4.2
26/01/2007,2.1
27/01/2007,1.9
28/01/2007,1.5
29/01/2007,4
30/01/2007,2.7
31/01/2007,3.1
01/02/2007,2.7
02/02/2007,0.7
03/02/2007,1.7
04/02/2007,4.8
05/02/2007,-0.5
06/02/2007,2
07/02/2007,1.3
08/02/2007,4.6
09/02/2007,0.4
10/02/2007,0.6
11/02/2007,3.3
12/02/2007,2.8
13/02/2007,2.1
14/02/2007,2.2
15/02/2007,2.9
16/02/2007,1.3
17/02/2007,0.1
18/02/2007,1.4
19/02/2007,2.4
20/02/2007,3
21/02/2007,3.5
22/02/2007,3.3
23/02/2007,2.7
24/02/2007,-0.1
25/02/2007,1.6
26/02/2007,0.5
27/02/2007,0.7
28/02/2007,2.3
01/03/2007,5
02/03/2007,1.5
03/03/2007,1.2
04/03/2007,0.2
05/03/2007,-0.4
06/03/2007,-1.1
07/03/2007,0.8
08/03/2007,4.6
09/03/2007,1.3
10/03/2007,-4
11/03/2007,1.6
12/03/2007,-0.7
13/03/2007,-3.3
14/03/2007,1.5
15/03/2007,1.1
16/03/2007,-0.3
17/03/2007,2.6
18/03/2007,1.7
19/03/2007,3.6
20/03/2007,2.1
21/03/2007,2.2
22/03/2007,1.6
23/03/2007,0.8
24/03/2007,1
25/03/2007,1.4
26/03/2007,-0.4
27/03/2007,0.4
28/03/2007,1
29/03/2007,-0.8
30/03/2007,0.2
31/03/2007,2.3
01/04/2007,0.8
02/04/2007,1.8
03/04/2007,1.7
04/04/2007,-0.8
05/04/2007,1.7
06/04/2007,3.1
07/04/2007,-1.5
08/04/2007,-1.4
09/04/2007,0.8
10/04/2007,2.1
11/04/2007,-0.6
12/04/2007,-1.3
13/04/2007,-2
14/04/2007,-1.2
15/04/2007,-1.3
16/04/2007,-4.4
17/04/2007,-1.9
18/04/2007,0.3
